Analysis name
powerMeter

Image files
measuredOpticalPowerVsAcquisitionDuration;measuredOpticalPowerVsPowerInstruction
measuredOpticalPowerVsAcquisitionDuration.jpg;measuredOpticalPowerVsPowerInstruction.jpg

File information
false
false

Primary metrics values
powerAverage;powerStandardDeviation;powerMaximum;powerMinimum;powerDeviation;powerStability
1.2129;1.0141;3.0080;0.0000;248.0015;0.0000

Secondary metrics values
No values
1

Algorithm metadata values
No values
1

Image metadata values
No values
1

Transformation parameters values
No values
1

Measurement Uncertainties values
No values
1

Result table values
power_instruction;405_power;405_error
1.0;35.0;4.0
5.0;161.0;16.0
10.0;320.0;32.0
20.0;632.0;63.0
30.0;945.0;95.0
40.0;1255.0;126.0
50.0;1575.0;158.0
60.0;1896.0;190.0
70.0;2202.0;220.0
80.0;2499.0;250.0
90.0;2789.0;279.0
100.0;3008.0;301.0
time;measuredOpticalPowerAverage;measuredOpticalPowerError
0.0000;0.0050;0.0000
1.0000;0.0040;0.0000
2.0000;0.0050;0.0000
3.0000;0.0040;0.0000
4.0000;0.0040;0.0000
5.0000;0.0040;0.0000
6.0000;0.0020;0.0000
7.0000;0.0000;0.0000
8.0000;0.0000;0.0000
9.0000;0.0010;0.0000
10.0000;0.0010;0.0000
11.0000;0.0210;0.0020
12.0000;0.0350;0.0040
13.0000;0.0350;0.0040
14.0000;0.0350;0.0040
15.0000;0.0360;0.0040
16.0000;0.0360;0.0040
17.0000;0.0690;0.0070
18.0000;0.1630;0.0160
19.0000;0.1630;0.0160
20.0000;0.1610;0.0160
21.0000;0.1630;0.0160
22.0000;0.1630;0.0160
23.0000;0.1610;0.0160
24.0000;0.1620;0.0160
25.0000;0.1630;0.0160
26.0000;0.2750;0.0280
27.0000;0.3190;0.0320
28.0000;0.3200;0.0320
29.0000;0.3200;0.0320
30.0000;0.3180;0.0320
31.0000;0.3210;0.0320
32.0000;0.3210;0.0320
33.0000;0.3180;0.0320
34.0000;0.5820;0.0580
35.0000;0.6350;0.0630
36.0000;0.6320;0.0630
37.0000;0.6320;0.0630
38.0000;0.6340;0.0630
39.0000;0.6350;0.0640
40.0000;0.6280;0.0630
41.0000;0.7900;0.0790
42.0000;0.9480;0.0950
43.0000;0.9380;0.0940
44.0000;0.9450;0.0950
45.0000;0.9470;0.0950
46.0000;0.9410;0.0940
47.0000;0.9400;0.0940
48.0000;0.9450;0.0950
49.0000;0.9460;0.0950
50.0000;1.2380;0.1240
51.0000;1.2570;0.1260
52.0000;1.2570;0.1260
53.0000;1.2450;0.1250
54.0000;1.2550;0.1260
55.0000;1.2600;0.1260
56.0000;1.2580;0.1260
57.0000;1.2450;0.1250
58.0000;1.2600;0.1260
59.0000;1.5200;0.1520
60.0000;1.5580;0.1560
61.0000;1.5750;0.1580
62.0000;1.5780;0.1580
63.0000;1.5650;0.1570
64.0000;1.5750;0.1580
65.0000;1.5810;0.1580
66.0000;1.7140;0.1710
67.0000;1.8760;0.1880
68.0000;1.8930;0.1890
69.0000;1.8960;0.1900
70.0000;1.8760;0.1880
71.0000;1.8910;0.1890
72.0000;1.8950;0.1900
73.0000;2.1660;0.2170
74.0000;2.1950;0.2200
75.0000;2.2020;0.2200
76.0000;2.2000;0.2200
77.0000;2.1760;0.2180
78.0000;2.1980;0.2200
79.0000;2.4630;0.2460
80.0000;2.4720;0.2470
81.0000;2.4990;0.2500
82.0000;2.5010;0.2500
83.0000;2.4780;0.2480
84.0000;2.4920;0.2490
85.0000;2.5000;0.2500
86.0000;2.7470;0.2750
87.0000;2.7530;0.2750
88.0000;2.7890;0.2790
89.0000;2.7900;0.2790
90.0000;2.7560;0.2760
91.0000;2.9140;0.2910
92.0000;3.0000;0.3000
93.0000;2.9770;0.2980
94.0000;2.9940;0.2990
95.0000;3.0080;0.3010
96.0000;3.0070;0.3010
97.0000;2.9750;0.2980
