Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
2.3040999999999996;2.01593848062801;6.383;-0.005;277.2449112451717;-0.15678896205706394

Result table values
power_instruction;561_power;561_error
1.0;61.0;6.1
5.0;301.0;30.1
10.0;598.0;59.8
20.0;1197.0;119.7
30.0;1788.0;178.8
40.0;2393.0;239.3
50.0;2984.0;298.4
60.0;3616.0;361.6
70.0;4202.0;420.2
80.0;4842.0;484.2
90.0;5540.0;554.0
100.0;6317.0;631.7
time;measured_optical_power_error;measured_optical_power_average
0.0;-5.0E-4;-0.005
1.0;-5.0E-4;-0.005
2.0;-3.0000000000000003E-4;-0.003
3.0;3.0000000000000003E-4;0.003
4.0;4.0E-4;0.004
5.0;4.0E-4;0.004
6.0;4.0E-4;0.004
7.0;4.0E-4;0.004
8.0;-0.0;-0.0
9.0;-0.0;-0.0
10.0;-0.0;-0.0
11.0;-0.0;-0.0
12.0;0.0;0.0
13.0;-0.0;-0.0
14.0;6.000000000000001E-4;0.006
15.0;0.0061;0.061
16.0;0.0061;0.061
17.0;0.0061;0.061
18.0;0.0061;0.061
19.0;0.0061;0.061
20.0;0.0061;0.061
21.0;0.027700000000000002;0.277
22.0;0.0303;0.303
23.0;0.030100000000000002;0.301
24.0;0.0303;0.303
25.0;0.0302;0.302
26.0;0.03;0.3
27.0;0.0303;0.303
28.0;0.0494;0.494
29.0;0.0595;0.595
30.0;0.0598;0.598
31.0;0.0598;0.598
32.0;0.0597;0.597
33.0;0.0597;0.597
34.0;0.0601;0.601
35.0;0.1007;1.007
36.0;0.1192;1.192
37.0;0.12;1.2
38.0;0.11970000000000001;1.197
39.0;0.1192;1.192
40.0;0.12040000000000001;1.204
41.0;0.12040000000000001;1.204
42.0;0.125;1.25
43.0;0.1784;1.784
44.0;0.1785;1.785
45.0;0.1781;1.781
46.0;0.17880000000000001;1.788
47.0;0.1795;1.795
48.0;0.17880000000000001;1.788
49.0;0.1776;1.776
50.0;0.2258;2.258
51.0;0.2388;2.388
52.0;0.2377;2.377
53.0;0.23929999999999998;2.393
54.0;0.2389;2.389
55.0;0.2364;2.364
56.0;0.23870000000000002;2.387
57.0;0.23950000000000002;2.395
58.0;0.2949;2.949
59.0;0.2988;2.988
60.0;0.2987;2.987
61.0;0.2984;2.984
62.0;0.2967;2.967
63.0;0.29950000000000004;2.995
64.0;0.2999;2.999
65.0;0.29760000000000003;2.976
66.0;0.35860000000000003;3.586
67.0;0.3598;3.598
68.0;0.3573;3.573
69.0;0.3608;3.608
70.0;0.36160000000000003;3.616
71.0;0.35830000000000006;3.583
72.0;0.3593;3.593
73.0;0.3607;3.607
74.0;0.3593;3.593
75.0;0.37210000000000004;3.721
76.0;0.42400000000000004;4.24
77.0;0.4236;4.236
78.0;0.4202;4.202
79.0;0.4228;4.228
80.0;0.4233;4.233
81.0;0.4218;4.218
82.0;0.427;4.27
83.0;0.4857;4.857
84.0;0.48250000000000004;4.825
85.0;0.48419999999999996;4.842
86.0;0.4866;4.866
87.0;0.48730000000000007;4.873
88.0;0.4847000000000001;4.847
89.0;0.4883;4.883
90.0;0.5533;5.533
91.0;0.5486;5.486
92.0;0.554;5.54
93.0;0.5558;5.558
94.0;0.5601;5.601
95.0;0.6325000000000001;6.325
96.0;0.6342;6.342
97.0;0.6341000000000001;6.341
98.0;0.6317;6.317
99.0;0.6383000000000001;6.383
