Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.7201884057971014;0.7686604636187631;2.285;-0.001;317.41694001167167;-0.08756567425567408

Result table values
power_instruction;405_power;405_error
1.0;27.0;2.7
5.0;126.0;12.6
10.0;248.0;24.8
20.0;486.0;48.6
30.0;735.0;73.5
40.0;968.0;96.8
50.0;1208.0;120.8
60.0;1449.0;144.9
70.0;1693.0;169.3
80.0;1915.0;191.5
90.0;2104.0;210.4
100.0;2265.0;226.5
time;measured_optical_power_error;measured_optical_power_average
0.0;9.0E-4;0.009
1.0;0.0011;0.011
2.0;0.001;0.01
3.0;0.0011;0.011
4.0;0.0011;0.011
5.0;0.0011;0.011
6.0;0.001;0.01
7.0;0.001;0.01
8.0;0.001;0.01
9.0;0.001;0.01
10.0;0.0011;0.011
11.0;0.001;0.01
12.0;0.001;0.01
13.0;0.001;0.01
14.0;9.0E-4;0.009
15.0;0.001;0.01
16.0;0.001;0.01
17.0;0.0011;0.011
18.0;-0.0;-0.0
19.0;1.0E-4;0.001
20.0;-0.0;-0.0
21.0;-0.0;-0.0
22.0;-1.0E-4;-0.001
23.0;-1.0E-4;-0.001
24.0;-1.0E-4;-0.001
25.0;0.0024000000000000002;0.024
26.0;0.0027;0.027
27.0;0.0028000000000000004;0.028
28.0;0.0028000000000000004;0.028
29.0;0.0027;0.027
30.0;0.0027;0.027
31.0;0.0027;0.027
32.0;0.0027;0.027
33.0;0.0027;0.027
34.0;0.0027;0.027
35.0;0.0027;0.027
36.0;0.0028000000000000004;0.028
37.0;0.0028000000000000004;0.028
38.0;0.0025000000000000005;0.025
39.0;0.0025000000000000005;0.025
40.0;0.0025000000000000005;0.025
41.0;0.0025000000000000005;0.025
42.0;0.0026;0.026
43.0;0.0025000000000000005;0.025
44.0;0.0027;0.027
45.0;0.0025000000000000005;0.025
46.0;0.0025000000000000005;0.025
47.0;0.0026;0.026
48.0;0.006700000000000001;0.067
49.0;0.0126;0.126
50.0;0.0126;0.126
51.0;0.0126;0.126
52.0;0.012400000000000001;0.124
53.0;0.0125;0.125
54.0;0.0125;0.125
55.0;0.012400000000000001;0.124
56.0;0.018;0.18
57.0;0.0247;0.247
58.0;0.0246;0.246
59.0;0.024800000000000003;0.248
60.0;0.024800000000000003;0.248
61.0;0.024800000000000003;0.248
62.0;0.0246;0.246
63.0;0.024900000000000002;0.249
64.0;0.024800000000000003;0.248
65.0;0.0245;0.245
66.0;0.024900000000000002;0.249
67.0;0.046400000000000004;0.464
68.0;0.0484;0.484
69.0;0.049100000000000005;0.491
70.0;0.049300000000000004;0.493
71.0;0.049100000000000005;0.491
72.0;0.048600000000000004;0.486
73.0;0.049300000000000004;0.493
74.0;0.049300000000000004;0.493
75.0;0.0487;0.487
76.0;0.0494;0.494
77.0;0.0727;0.727
78.0;0.0734;0.734
79.0;0.0731;0.731
80.0;0.0736;0.736
81.0;0.0735;0.735
82.0;0.0728;0.728
83.0;0.0738;0.738
84.0;0.0735;0.735
85.0;0.073;0.73
86.0;0.09090000000000001;0.909
87.0;0.0975;0.975
88.0;0.0971;0.971
89.0;0.0968;0.968
90.0;0.09720000000000001;0.972
91.0;0.09720000000000001;0.972
92.0;0.096;0.96
93.0;0.0974;0.974
94.0;0.1129;1.129
95.0;0.1196;1.196
96.0;0.12140000000000001;1.214
97.0;0.1208;1.208
98.0;0.12040000000000001;1.204
99.0;0.12040000000000001;1.204
100.0;0.12140000000000001;1.214
101.0;0.1208;1.208
102.0;0.1289;1.289
103.0;0.1451;1.451
104.0;0.14470000000000002;1.447
105.0;0.1428;1.428
106.0;0.1449;1.449
107.0;0.14550000000000002;1.455
108.0;0.144;1.44
109.0;0.145;1.45
110.0;0.1549;1.549
111.0;0.1688;1.688
112.0;0.16710000000000003;1.671
113.0;0.1693;1.693
114.0;0.1695;1.695
115.0;0.16720000000000002;1.672
116.0;0.16920000000000002;1.692
117.0;0.16990000000000002;1.699
118.0;0.19110000000000002;1.911
119.0;0.1896;1.896
120.0;0.19240000000000002;1.924
121.0;0.1915;1.915
122.0;0.18910000000000002;1.891
123.0;0.192;1.92
124.0;0.192;1.92
125.0;0.1908;1.908
126.0;0.19840000000000002;1.984
127.0;0.21320000000000003;2.132
128.0;0.21230000000000004;2.123
129.0;0.21040000000000003;2.104
130.0;0.21280000000000002;2.128
131.0;0.2127;2.127
132.0;0.2218;2.218
133.0;0.2279;2.279
134.0;0.2279;2.279
135.0;0.22650000000000003;2.265
136.0;0.2276;2.276
137.0;0.22850000000000004;2.285
