Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.2513516483516484;0.20147076982314702;0.659;-0.001;262.58033489266813;-0.3039513677811634

Result table values
power_instruction;561_power;561_error
1.0;6.0;0.6
5.0;29.0;2.9
10.0;60.0;6.0
20.0;119.0;11.9
30.0;173.0;17.3
40.0;245.0;24.5
50.0;297.0;29.7
60.0;359.0;35.9
70.0;434.0;43.4
80.0;485.0;48.5
90.0;559.0;55.9
100.0;658.0;65.8
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;-0.0;-0.0
2.0;-0.0;-0.0
3.0;-1.0E-4;-0.001
4.0;-1.0E-4;-0.001
5.0;-0.0;-0.0
6.0;4.0E-4;0.004
7.0;6.000000000000001E-4;0.006
8.0;6.000000000000001E-4;0.006
9.0;6.000000000000001E-4;0.006
10.0;6.000000000000001E-4;0.006
11.0;6.000000000000001E-4;0.006
12.0;7.000000000000001E-4;0.007
13.0;0.0029000000000000002;0.029
14.0;0.0029000000000000002;0.029
15.0;0.0029000000000000002;0.029
16.0;0.0029000000000000002;0.029
17.0;0.0029000000000000002;0.029
18.0;0.003;0.03
19.0;0.003;0.03
20.0;0.0051;0.051
21.0;0.006;0.06
22.0;0.006;0.06
23.0;0.0059;0.059
24.0;0.0059;0.059
25.0;0.0059;0.059
26.0;0.0059;0.059
27.0;0.0111;0.111
28.0;0.012;0.12
29.0;0.0119;0.119
30.0;0.0119;0.119
31.0;0.012;0.12
32.0;0.0121;0.121
33.0;0.012;0.12
34.0;0.0149;0.149
35.0;0.0178;0.178
36.0;0.017499999999999998;0.175
37.0;0.0173;0.173
38.0;0.0174;0.174
39.0;0.0173;0.173
40.0;0.0174;0.174
41.0;0.0179;0.179
42.0;0.0242;0.242
43.0;0.0246;0.246
44.0;0.0247;0.247
45.0;0.0245;0.245
46.0;0.024;0.24
47.0;0.0235;0.235
48.0;0.023400000000000004;0.234
49.0;0.023200000000000002;0.232
50.0;0.0289;0.289
51.0;0.0295;0.295
52.0;0.0297;0.297
53.0;0.0297;0.297
54.0;0.0302;0.302
55.0;0.0304;0.304
56.0;0.0302;0.302
57.0;0.030100000000000002;0.301
58.0;0.030600000000000002;0.306
59.0;0.0361;0.361
60.0;0.0355;0.355
61.0;0.0359;0.359
62.0;0.0357;0.357
63.0;0.0356;0.356
64.0;0.0361;0.361
65.0;0.0365;0.365
66.0;0.0432;0.432
67.0;0.043500000000000004;0.435
68.0;0.0434;0.434
69.0;0.0429;0.429
70.0;0.0422;0.422
71.0;0.042300000000000004;0.423
72.0;0.0425;0.425
73.0;0.0479;0.479
74.0;0.0483;0.483
75.0;0.0485;0.485
76.0;0.0483;0.483
77.0;0.048600000000000004;0.486
78.0;0.0489;0.489
79.0;0.0489;0.489
80.0;0.0484;0.484
81.0;0.052000000000000005;0.52
82.0;0.056499999999999995;0.565
83.0;0.055900000000000005;0.559
84.0;0.0564;0.564
85.0;0.0564;0.564
86.0;0.0623;0.623
87.0;0.06520000000000001;0.652
88.0;0.0659;0.659
89.0;0.06580000000000001;0.658
90.0;0.06470000000000001;0.647
