Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
2.0074387755102046;1.7284132362243159;5.052;-0.001;251.7137788531431;-0.039596119580287414

Result table values
power_instruction;633_power;633_error
1.0;58.0;5.8
5.0;291.0;29.1
10.0;575.0;57.5
20.0;1129.0;112.9
30.0;1693.0;169.3
40.0;2246.0;224.6
50.0;2740.0;274.0
60.0;3276.0;327.6
70.0;3803.0;380.3
80.0;4304.0;430.4
90.0;4751.0;475.1
100.0;5052.0;505.2
time;measured_optical_power_error;measured_optical_power_average
0.0;-1.0E-4;-0.001
1.0;-0.0;-0.0
2.0;2.0E-4;0.002
3.0;3.0000000000000003E-4;0.003
4.0;3.0000000000000003E-4;0.003
5.0;3.0000000000000003E-4;0.003
6.0;3.0000000000000003E-4;0.003
7.0;-0.0;-0.0
8.0;-0.0;-0.0
9.0;-0.0;-0.0
10.0;-0.0;-0.0
11.0;0.0;0.0
12.0;0.0033000000000000004;0.033
13.0;0.0057;0.057
14.0;0.0058000000000000005;0.058
15.0;0.0058000000000000005;0.058
16.0;0.0058000000000000005;0.058
17.0;0.0058000000000000005;0.058
18.0;0.0058000000000000005;0.058
19.0;0.0058000000000000005;0.058
20.0;0.0244;0.244
21.0;0.0289;0.289
22.0;0.0291;0.291
23.0;0.0288;0.288
24.0;0.0291;0.291
25.0;0.0291;0.291
26.0;0.0287;0.287
27.0;0.05580000000000001;0.558
28.0;0.0571;0.571
29.0;0.056799999999999996;0.568
30.0;0.0573;0.573
31.0;0.057499999999999996;0.575
32.0;0.0572;0.572
33.0;0.0566;0.566
34.0;0.0571;0.571
35.0;0.056999999999999995;0.57
36.0;0.1089;1.089
37.0;0.11430000000000001;1.143
38.0;0.11410000000000001;1.141
39.0;0.1129;1.129
40.0;0.1139;1.139
41.0;0.11410000000000001;1.141
42.0;0.1135;1.135
43.0;0.11399999999999999;1.14
44.0;0.1603;1.603
45.0;0.1676;1.676
46.0;0.1683;1.683
47.0;0.1693;1.693
48.0;0.1695;1.695
49.0;0.168;1.68
50.0;0.1686;1.686
51.0;0.17220000000000002;1.722
52.0;0.2214;2.214
53.0;0.22360000000000002;2.236
54.0;0.22460000000000002;2.246
55.0;0.22260000000000002;2.226
56.0;0.22340000000000002;2.234
57.0;0.22360000000000002;2.236
58.0;0.2235;2.235
59.0;0.2671;2.671
60.0;0.2777;2.777
61.0;0.2767;2.767
62.0;0.274;2.74
63.0;0.2765;2.765
64.0;0.27690000000000003;2.769
65.0;0.27599999999999997;2.76
66.0;0.29560000000000003;2.956
67.0;0.3284;3.284
68.0;0.32570000000000005;3.257
69.0;0.3276;3.276
70.0;0.32820000000000005;3.282
71.0;0.3276;3.276
72.0;0.3286;3.286
73.0;0.3328;3.328
74.0;0.3798;3.798
75.0;0.3779;3.779
76.0;0.3803;3.803
77.0;0.38050000000000006;3.805
78.0;0.3778;3.778
79.0;0.3795;3.795
80.0;0.38380000000000003;3.838
81.0;0.42510000000000003;4.251
82.0;0.4287;4.287
83.0;0.43040000000000006;4.304
84.0;0.42880000000000007;4.288
85.0;0.42710000000000004;4.271
86.0;0.4267000000000001;4.267
87.0;0.458;4.58
88.0;0.4716;4.716
89.0;0.4751000000000001;4.751
90.0;0.4758;4.758
91.0;0.47150000000000003;4.715
92.0;0.49219999999999997;4.922
93.0;0.5041000000000001;5.041
94.0;0.5006;5.006
95.0;0.5045000000000001;5.045
96.0;0.5052;5.052
97.0;0.5007;5.007
