Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

Image metadata
profile name
8

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
2.0865568181818186;1.502355862887298;4.605;-0.0;220.69851920029188;0.0

Result table values
power_instruction;405_power;405_error
1.0;54.0;5.4
5.0;250.0;25.0
10.0;491.0;49.1
20.0;974.0;97.4
30.0;1456.0;145.6
40.0;1941.0;194.1
50.0;2423.0;242.3
60.0;2889.0;288.9
70.0;3388.0;338.8
80.0;3838.0;383.8
90.0;4251.0;425.1
100.0;4604.0;460.4
time;measured_optical_power_error;measured_optical_power_average
0.0;-0.0;-0.0
1.0;-0.0;-0.0
2.0;0.0;0.0
3.0;-0.0;-0.0
4.0;8.0E-4;0.008
5.0;0.0054;0.054
6.0;0.0054;0.054
7.0;0.0054;0.054
8.0;0.0054;0.054
9.0;0.0054;0.054
10.0;0.009600000000000001;0.096
11.0;0.024800000000000003;0.248
12.0;0.024800000000000003;0.248
13.0;0.025;0.25
14.0;0.025;0.25
15.0;0.024900000000000002;0.249
16.0;0.025400000000000002;0.254
17.0;0.049;0.49
18.0;0.0488;0.488
19.0;0.049100000000000005;0.491
20.0;0.0492;0.492
21.0;0.049300000000000004;0.493
22.0;0.0489;0.489
23.0;0.07840000000000001;0.784
24.0;0.097;0.97
25.0;0.09670000000000001;0.967
26.0;0.0974;0.974
27.0;0.0976;0.976
28.0;0.097;0.97
29.0;0.09720000000000001;0.972
30.0;0.1158;1.158
31.0;0.1444;1.444
32.0;0.1456;1.456
33.0;0.146;1.46
34.0;0.1459;1.459
35.0;0.1448;1.448
36.0;0.14770000000000003;1.477
37.0;0.1932;1.932
38.0;0.19240000000000002;1.924
39.0;0.19410000000000002;1.941
40.0;0.19430000000000003;1.943
41.0;0.19340000000000002;1.934
42.0;0.194;1.94
43.0;0.2017;2.017
44.0;0.2405;2.405
45.0;0.24209999999999998;2.421
46.0;0.2429;2.429
47.0;0.24300000000000002;2.43
48.0;0.24209999999999998;2.421
49.0;0.2425;2.425
50.0;0.24230000000000002;2.423
51.0;0.24060000000000004;2.406
52.0;0.2431;2.431
53.0;0.24350000000000002;2.435
54.0;0.2581;2.581
55.0;0.2906;2.906
56.0;0.2902;2.902
57.0;0.2889;2.889
58.0;0.2907;2.907
59.0;0.2911;2.911
60.0;0.2908;2.908
61.0;0.2938;2.938
62.0;0.33690000000000003;3.369
63.0;0.3375;3.375
64.0;0.33610000000000007;3.361
65.0;0.3387;3.387
66.0;0.3388;3.388
67.0;0.33570000000000005;3.357
68.0;0.3371;3.371
69.0;0.3377;3.377
70.0;0.3381;3.381
71.0;0.373;3.73
72.0;0.385;3.85
73.0;0.38380000000000003;3.838
74.0;0.381;3.81
75.0;0.38450000000000006;3.845
76.0;0.385;3.85
77.0;0.3836;3.836
78.0;0.4268;4.268
79.0;0.4286;4.286
80.0;0.42510000000000003;4.251
81.0;0.42880000000000007;4.288
82.0;0.43010000000000004;4.301
83.0;0.4582;4.582
84.0;0.4605000000000001;4.605
85.0;0.46040000000000003;4.604
86.0;0.4596;4.596
87.0;0.45810000000000006;4.581
