Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
1.95878;1.7176705927317244;5.029;-0.001;256.7924932866376;-0.039777247414485295

Result table values
power_instruction;633_power;633_error
1.0;55.0;5.5
5.0;275.0;27.5
10.0;542.0;54.2
20.0;1082.0;108.2
30.0;1612.0;161.2
40.0;2146.0;214.6
50.0;2641.0;264.1
60.0;3162.0;316.2
70.0;3642.0;364.2
80.0;4111.0;411.1
90.0;4605.0;460.5
100.0;5021.0;502.1
time;measured_optical_power_error;measured_optical_power_average
0.0;-1.0E-4;-0.001
1.0;-1.0E-4;-0.001
2.0;-1.0E-4;-0.001
3.0;-1.0E-4;-0.001
4.0;-1.0E-4;-0.001
5.0;-1.0E-4;-0.001
6.0;-1.0E-4;-0.001
7.0;-1.0E-4;-0.001
8.0;-1.0E-4;-0.001
9.0;4.0E-4;0.004
10.0;-0.0;-0.0
11.0;-0.0;-0.0
12.0;-0.0;-0.0
13.0;-0.0;-0.0
14.0;-0.0;-0.0
15.0;-0.0;-0.0
16.0;0.004;0.04
17.0;0.0055000000000000005;0.055
18.0;0.0055000000000000005;0.055
19.0;0.0055000000000000005;0.055
20.0;0.0055000000000000005;0.055
21.0;0.0055000000000000005;0.055
22.0;0.0177;0.177
23.0;0.027400000000000004;0.274
24.0;0.027500000000000004;0.275
25.0;0.027600000000000003;0.276
26.0;0.027400000000000004;0.274
27.0;0.027600000000000003;0.276
28.0;0.038700000000000005;0.387
29.0;0.054200000000000005;0.542
30.0;0.054200000000000005;0.542
31.0;0.054200000000000005;0.542
32.0;0.05430000000000001;0.543
33.0;0.05380000000000001;0.538
34.0;0.05410000000000001;0.541
35.0;0.054200000000000005;0.542
36.0;0.0631;0.631
37.0;0.10840000000000001;1.084
38.0;0.1081;1.081
39.0;0.10820000000000002;1.082
40.0;0.10800000000000001;1.08
41.0;0.10830000000000001;1.083
42.0;0.1085;1.085
43.0;0.11910000000000001;1.191
44.0;0.1612;1.612
45.0;0.16080000000000003;1.608
46.0;0.1597;1.597
47.0;0.1613;1.613
48.0;0.1612;1.612
49.0;0.16090000000000002;1.609
50.0;0.16080000000000003;1.608
51.0;0.16160000000000002;1.616
52.0;0.16140000000000002;1.614
53.0;0.2116;2.116
54.0;0.2149;2.149
55.0;0.2146;2.146
56.0;0.2127;2.127
57.0;0.2147;2.147
58.0;0.215;2.15
59.0;0.21450000000000002;2.145
60.0;0.24620000000000003;2.462
61.0;0.26680000000000004;2.668
62.0;0.2661;2.661
63.0;0.2641;2.641
64.0;0.2663;2.663
65.0;0.267;2.67
66.0;0.2641;2.641
67.0;0.2757;2.757
68.0;0.31720000000000004;3.172
69.0;0.31620000000000004;3.162
70.0;0.31420000000000003;3.142
71.0;0.3168;3.168
72.0;0.3168;3.168
73.0;0.31370000000000003;3.137
74.0;0.3429;3.429
75.0;0.3672;3.672
76.0;0.3642;3.642
77.0;0.36650000000000005;3.665
78.0;0.3668;3.668
79.0;0.3672;3.672
80.0;0.3651;3.651
81.0;0.3945;3.945
82.0;0.4151;4.151
83.0;0.4111;4.111
84.0;0.41600000000000004;4.16
85.0;0.4152;4.152
86.0;0.41230000000000006;4.123
87.0;0.4145;4.145
88.0;0.43440000000000006;4.344
89.0;0.4635;4.635
90.0;0.4605000000000001;4.605
91.0;0.46340000000000003;4.634
92.0;0.4638;4.638
93.0;0.4813;4.813
94.0;0.5023;5.023
95.0;0.5021;5.021
96.0;0.49770000000000003;4.977
97.0;0.5016;5.016
98.0;0.5029;5.029
99.0;0.502;5.02
