Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

Image metadata
profile name
8

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
2.301358974358975;1.632059049565082;4.926;-0.0;214.0474413111539;0.0

Result table values
power_instruction;633_power;633_error
1.0;52.0;5.2
10.0;519.0;51.9
20.0;1036.0;103.6
30.0;1542.0;154.2
40.0;2056.0;205.6
50.0;2555.0;255.5
60.0;3050.0;305.0
70.0;3545.0;354.5
80.0;4013.0;401.3
90.0;4490.0;449.0
100.0;4882.0;488.2
time;measured_optical_power_error;measured_optical_power_average
0.0;3.0000000000000003E-4;0.003
1.0;2.0E-4;0.002
2.0;2.0E-4;0.002
3.0;-0.0;-0.0
4.0;0.0;0.0
5.0;0.001;0.01
6.0;0.0052;0.052
7.0;0.0052;0.052
8.0;0.0052;0.052
9.0;0.0052;0.052
10.0;0.0052;0.052
11.0;0.0174;0.174
12.0;0.052000000000000005;0.52
13.0;0.0519;0.519
14.0;0.0519;0.519
15.0;0.051800000000000006;0.518
16.0;0.051500000000000004;0.515
17.0;0.0519;0.519
18.0;0.068;0.68
19.0;0.1035;1.035
20.0;0.1038;1.038
21.0;0.10360000000000001;1.036
22.0;0.1031;1.031
23.0;0.1037;1.037
24.0;0.10389999999999999;1.039
25.0;0.13740000000000002;1.374
26.0;0.1537;1.537
27.0;0.1542;1.542
28.0;0.15410000000000001;1.541
29.0;0.1533;1.533
30.0;0.15460000000000002;1.546
31.0;0.1549;1.549
32.0;0.1776;1.776
33.0;0.2049;2.049
34.0;0.20520000000000002;2.052
35.0;0.2056;2.056
36.0;0.2054;2.054
37.0;0.20600000000000002;2.06
38.0;0.20550000000000002;2.055
39.0;0.223;2.23
40.0;0.2548;2.548
41.0;0.2555;2.555
42.0;0.2546;2.546
43.0;0.2559;2.559
44.0;0.2555;2.555
45.0;0.2581;2.581
46.0;0.30390000000000006;3.039
47.0;0.3047;3.047
48.0;0.305;3.05
49.0;0.3034;3.034
50.0;0.3045;3.045
51.0;0.3034;3.034
52.0;0.32570000000000005;3.257
53.0;0.35450000000000004;3.545
54.0;0.35450000000000004;3.545
55.0;0.3526;3.526
56.0;0.3538;3.538
57.0;0.3529;3.529
58.0;0.35200000000000004;3.52
59.0;0.40190000000000003;4.019
60.0;0.4028;4.028
61.0;0.4013;4.013
62.0;0.4013;4.013
63.0;0.40060000000000007;4.006
64.0;0.4018;4.018
65.0;0.4007;4.007
66.0;0.4045;4.045
67.0;0.45130000000000003;4.513
68.0;0.44660000000000005;4.466
69.0;0.44900000000000007;4.49
70.0;0.4495;4.495
71.0;0.4488000000000001;4.488
72.0;0.49210000000000004;4.921
73.0;0.49260000000000004;4.926
74.0;0.48819999999999997;4.882
75.0;0.489;4.89
76.0;0.4907;4.907
77.0;0.49150000000000005;4.915
