Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

Image metadata
profile name
8

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
0.28876543209876543;0.20566927389576997;0.684;-0.001;237.21675929884566;-0.2928257686676483

Result table values
power_instruction;594_power;594_error
1.0;8.0;0.8
10.0;61.0;6.1
20.0;121.0;12.1
30.0;180.0;18.0
40.0;240.0;24.0
50.0;301.0;30.1
60.0;365.0;36.5
70.0;427.0;42.7
80.0;498.0;49.8
90.0;574.0;57.4
100.0;683.0;68.3
time;measured_optical_power_error;measured_optical_power_average
0.0;-1.0E-4;-0.001
1.0;-1.0E-4;-0.001
2.0;0.0;0.0
3.0;3.0000000000000003E-4;0.003
4.0;2.0E-4;0.002
5.0;3.0000000000000003E-4;0.003
6.0;3.0000000000000003E-4;0.003
7.0;8.0E-4;0.008
8.0;8.0E-4;0.008
9.0;8.0E-4;0.008
10.0;8.0E-4;0.008
11.0;8.0E-4;0.008
12.0;0.0046;0.046
13.0;0.0061;0.061
14.0;0.0061;0.061
15.0;0.0061;0.061
16.0;0.0061;0.061
17.0;0.0061;0.061
18.0;0.0089;0.089
19.0;0.012;0.12
20.0;0.0121;0.121
21.0;0.0121;0.121
22.0;0.012;0.12
23.0;0.012;0.12
24.0;0.012;0.12
25.0;0.0165;0.165
26.0;0.018;0.18
27.0;0.018;0.18
28.0;0.0179;0.179
29.0;0.018;0.18
30.0;0.0179;0.179
31.0;0.020000000000000004;0.2
32.0;0.024;0.24
33.0;0.024;0.24
34.0;0.0239;0.239
35.0;0.0239;0.239
36.0;0.0239;0.239
37.0;0.0238;0.238
38.0;0.0289;0.289
39.0;0.0303;0.303
40.0;0.030100000000000002;0.301
41.0;0.0299;0.299
42.0;0.0299;0.299
43.0;0.030100000000000002;0.301
44.0;0.0317;0.317
45.0;0.0363;0.363
46.0;0.0365;0.365
47.0;0.0365;0.365
48.0;0.0362;0.362
49.0;0.0363;0.363
50.0;0.0363;0.363
51.0;0.0388;0.388
52.0;0.0429;0.429
53.0;0.043000000000000003;0.43
54.0;0.0427;0.427
55.0;0.042800000000000005;0.428
56.0;0.0429;0.429
57.0;0.0429;0.429
58.0;0.042800000000000005;0.428
59.0;0.043000000000000003;0.43
60.0;0.043000000000000003;0.43
61.0;0.0427;0.427
62.0;0.042800000000000005;0.428
63.0;0.0429;0.429
64.0;0.0482;0.482
65.0;0.0499;0.499
66.0;0.049800000000000004;0.498
67.0;0.0495;0.495
68.0;0.0494;0.494
69.0;0.049600000000000005;0.496
70.0;0.0495;0.495
71.0;0.05450000000000001;0.545
72.0;0.057499999999999996;0.575
73.0;0.0574;0.574
74.0;0.0572;0.572
75.0;0.0573;0.573
76.0;0.0636;0.636
77.0;0.0679;0.679
78.0;0.0684;0.684
79.0;0.06830000000000001;0.683
80.0;0.0679;0.679
