Analysis name
powerMeter

Image files
measuredOpticalPowerVsAcquisitionDuration;measuredOpticalPowerVsPowerInstruction
measuredOpticalPowerVsAcquisitionDuration.jpg;measuredOpticalPowerVsPowerInstruction.jpg

File information
false
false

Primary metrics values
powerAverage;powerStandardDeviation;powerMaximum;powerMinimum;powerDeviation;powerStability
1.5620;1.1250;3.3120;-0.0000;212.0322;0.0000

Secondary metrics values
No values
1

Algorithm metadata values
No values
1

Image metadata values
No values
1

Transformation parameters values
No values
1

Measurement Uncertainties values
No values
1

Result table values
power_instruction;561_power;561_error
1.0;38.0;4.0
5.0;185.0;19.0
10.0;367.0;37.0
20.0;733.0;73.0
30.0;1083.0;108.0
40.0;1418.0;142.0
50.0;1782.0;178.0
60.0;2115.0;212.0
70.0;2423.0;242.0
80.0;2745.0;274.0
90.0;3056.0;306.0
100.0;3308.0;331.0
time;measuredOpticalPowerAverage;measuredOpticalPowerError
0.0000;2.0040;0.2000
1.0000;0.0020;0.0000
2.0000;0.0020;0.0000
3.0000;0.0020;0.0000
4.0000;0.0010;0.0000
5.0000;-0.0000;-0.0000
6.0000;0.0000;0.0000
7.0000;-0.0000;-0.0000
8.0000;0.0240;0.0020
9.0000;0.0380;0.0040
10.0000;0.0370;0.0040
11.0000;0.0380;0.0040
12.0000;0.0380;0.0040
13.0000;0.1220;0.0120
14.0000;0.1850;0.0190
15.0000;0.1850;0.0190
16.0000;0.1830;0.0180
17.0000;0.1850;0.0180
18.0000;0.1850;0.0190
19.0000;0.2740;0.0270
20.0000;0.3620;0.0360
21.0000;0.3670;0.0370
22.0000;0.3670;0.0370
23.0000;0.3640;0.0360
24.0000;0.3670;0.0370
25.0000;0.5890;0.0590
26.0000;0.7300;0.0730
27.0000;0.7330;0.0730
28.0000;0.7370;0.0740
29.0000;0.7360;0.0740
30.0000;0.7290;0.0730
31.0000;0.7720;0.0770
32.0000;1.0830;0.1080
33.0000;1.0740;0.1070
34.0000;1.0830;0.1080
35.0000;1.0860;0.1090
36.0000;1.0780;0.1080
37.0000;1.0820;0.1080
38.0000;1.0860;0.1090
39.0000;1.0840;0.1080
40.0000;1.0730;0.1070
41.0000;1.2450;0.1240
42.0000;1.4310;0.1430
43.0000;1.4180;0.1420
44.0000;1.4250;0.1430
45.0000;1.4310;0.1430
46.0000;1.4290;0.1430
47.0000;1.4210;0.1420
48.0000;1.5150;0.1510
49.0000;1.7780;0.1780
50.0000;1.7630;0.1760
51.0000;1.7820;0.1780
52.0000;1.7840;0.1780
53.0000;1.7640;0.1760
54.0000;1.7790;0.1780
55.0000;1.7840;0.1780
56.0000;1.8790;0.1880
57.0000;2.1010;0.2100
58.0000;2.1230;0.2120
59.0000;2.1150;0.2120
60.0000;2.0850;0.2090
61.0000;2.1080;0.2110
62.0000;2.1070;0.2110
63.0000;2.2020;0.2200
64.0000;2.4340;0.2430
65.0000;2.4370;0.2440
66.0000;2.4240;0.2420
67.0000;2.4230;0.2420
68.0000;2.4330;0.2430
69.0000;2.4350;0.2430
70.0000;2.4040;0.2400
71.0000;2.4900;0.2490
72.0000;2.7550;0.2760
73.0000;2.7210;0.2720
74.0000;2.7450;0.2740
75.0000;2.7570;0.2760
76.0000;2.7470;0.2750
77.0000;2.7420;0.2740
78.0000;2.7610;0.2760
79.0000;3.2270;0.3230
80.0000;3.2550;0.3250
81.0000;3.2930;0.3290
82.0000;3.2900;0.3290
83.0000;3.2620;0.3260
84.0000;3.2870;0.3290
85.0000;3.1380;0.3140
86.0000;3.0730;0.3070
87.0000;3.0560;0.3060
88.0000;3.0850;0.3080
89.0000;3.0950;0.3090
90.0000;3.1860;0.3190
91.0000;3.3120;0.3310
92.0000;3.3080;0.3310
93.0000;3.2800;0.3280
