Analysis name
power_meter

Image files
measured_optical_power_vs_acquisition_duration;measured_optical_power_vs_power_instruction
measured_optical_power_vs_acquisition_duration.jpg;measured_optical_power_vs_power_instruction.jpg

File information
false
false

Context values
no_value
1

Reliability values
no_value
1

Result values
power_average;power_standard_deviation;power_maximum;power_minimum;power_deviation;power_stability
1.0008823529411763;0.8328621180304346;2.507;-0.006;251.0784601821922;-0.4798080767692836

Result table values
power_instruction;488_power;488_error
1.0;24.0;2.4
5.0;121.0;12.1
10.0;240.0;24.0
20.0;485.0;48.5
30.0;728.0;72.8
40.0;968.0;96.8
50.0;1210.0;121.0
60.0;1447.0;144.7
70.0;1681.0;168.1
80.0;1938.0;193.8
90.0;2192.0;219.2
100.0;2503.0;250.3
time;measured_optical_power_error;measured_optical_power_average
0.0;-6.000000000000001E-4;-0.006
1.0;-6.000000000000001E-4;-0.006
2.0;-6.000000000000001E-4;-0.006
3.0;-6.000000000000001E-4;-0.006
4.0;4.0E-4;0.004
5.0;5.0E-4;0.005
6.0;0.0;0.0
7.0;0.0;0.0
8.0;0.0;0.0
9.0;0.0;0.0
10.0;7.000000000000001E-4;0.007
11.0;0.0024000000000000002;0.024
12.0;0.0024000000000000002;0.024
13.0;0.0024000000000000002;0.024
14.0;0.0024000000000000002;0.024
15.0;0.0024000000000000002;0.024
16.0;0.0024000000000000002;0.024
17.0;0.0024000000000000002;0.024
18.0;0.0103;0.103
19.0;0.0122;0.122
20.0;0.0122;0.122
21.0;0.0121;0.121
22.0;0.0122;0.122
23.0;0.0122;0.122
24.0;0.0122;0.122
25.0;0.016700000000000003;0.167
26.0;0.0242;0.242
27.0;0.0242;0.242
28.0;0.024;0.24
29.0;0.0242;0.242
30.0;0.0242;0.242
31.0;0.0242;0.242
32.0;0.0241;0.241
33.0;0.0365;0.365
34.0;0.0485;0.485
35.0;0.048100000000000004;0.481
36.0;0.0485;0.485
37.0;0.0487;0.487
38.0;0.0483;0.483
39.0;0.0487;0.487
40.0;0.0488;0.488
41.0;0.06430000000000001;0.643
42.0;0.0726;0.726
43.0;0.0728;0.728
44.0;0.0728;0.728
45.0;0.0722;0.722
46.0;0.0729;0.729
47.0;0.0729;0.729
48.0;0.0724;0.724
49.0;0.0973;0.973
50.0;0.09720000000000001;0.972
51.0;0.0965;0.965
52.0;0.0968;0.968
53.0;0.097;0.97
54.0;0.0969;0.969
55.0;0.09570000000000001;0.957
56.0;0.1071;1.071
57.0;0.121;1.21
58.0;0.1196;1.196
59.0;0.1208;1.208
60.0;0.121;1.21
61.0;0.12;1.2
62.0;0.12050000000000001;1.205
63.0;0.12090000000000001;1.209
64.0;0.1327;1.327
65.0;0.1433;1.433
66.0;0.1452;1.452
67.0;0.14470000000000002;1.447
68.0;0.1434;1.434
69.0;0.1449;1.449
70.0;0.1451;1.451
71.0;0.15200000000000002;1.52
72.0;0.16820000000000002;1.682
73.0;0.17;1.7
74.0;0.1693;1.693
75.0;0.16810000000000003;1.681
76.0;0.16990000000000002;1.699
77.0;0.1703;1.703
78.0;0.16920000000000002;1.692
79.0;0.1765;1.765
80.0;0.19510000000000002;1.951
81.0;0.19430000000000003;1.943
82.0;0.1938;1.938
83.0;0.1947;1.947
84.0;0.1948;1.948
85.0;0.193;1.93
86.0;0.19510000000000002;1.951
87.0;0.2171;2.171
88.0;0.21930000000000002;2.193
89.0;0.221;2.21
90.0;0.221;2.21
91.0;0.22080000000000002;2.208
92.0;0.21920000000000003;2.192
93.0;0.22120000000000004;2.212
94.0;0.2207;2.207
95.0;0.21880000000000002;2.188
96.0;0.2445;2.445
97.0;0.25070000000000003;2.507
98.0;0.24880000000000002;2.488
99.0;0.2503;2.503
100.0;0.25;2.5
101.0;0.24950000000000003;2.495
